Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Amount Product,Unit Price,Quantity,Purchase Date,Shipping Type,Amount Add-on,Total Amount,Add-on1,Add-on2,Add-on3,Periode
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2024-03-20,Standard,40.21,5578.54,Accessory,Accessory,Accessory,2024-03
1000,53,Male,No,Tablet,SKU1002,3,Completed,PayPal,741.09,247.03,3,2024-04-20,Overnight,26.09,767.1800000000001,Impulse Item,None,None,2024-04
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-10-17,Express,0.0,1855.84,None,None,None,2023-10
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,60.16,3224.92,Impulse Item,Impulse Item,None,2024-08
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,35.56,77.06,Accessory,None,None,2024-05
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-05-26,Standard,65.78,148.78,Impulse Item,Accessory,None,2024-05
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,7603.47,844.83,9,2024-01-30,Overnight,0.0,7603.47,None,None,None,2024-01
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2024-06-24,Overnight,75.33,4250.97,Extended Warranty,Extended Warranty,None,2024-06
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,2023-10-03,Standard,43.05,5581.38,Impulse Item,None,None,2023-10
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,0.0,4175.64,None,None,None,2024-01
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,2470.3,247.03,10,2024-06-25,Overnight,90.38,2560.6800000000003,Impulse Item,Accessory,Impulse Item,2024-06
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,2023-11-07,Overnight,55.48,7176.19,Accessory,Extended Warranty,None,2023-11
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-09-25,Express,65.85,3445.17,Extended Warranty,Impulse Item,Extended Warranty,2023-09
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,2024-07-07,Standard,70.17,7982.07,Accessory,Accessory,Accessory,2024-07
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,5538.33,791.19,7,2024-03-18,Overnight,57.81,5596.14,Accessory,Impulse Item,Accessory,2024-03
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,2024-01-02,Standard,69.31,5138.29,Extended Warranty,Extended Warranty,None,2024-01
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,2024-05-18,Standard,8.3,4755.4400000000005,Accessory,None,None,2024-05
1015,22,Male,No,Smartphone,SKU1001,5,Completed,PayPal,83.0,20.75,4,2024-09-02,Standard,80.0,163.0,Accessory,Accessory,Accessory,2024-09
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,PayPal,103.75,20.75,5,2024-07-07,Overnight,0.0,103.75,None,None,None,2024-07
1018,34,Male,No,Smartphone,SKU1001,5,Completed,PayPal,124.5,20.75,6,2024-07-23,Express,70.39,194.89,Impulse Item,Extended Warranty,None,2024-07
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83.0,20.75,4,2024-03-14,Express,0.0,83.0,None,None,None,2024-03
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-04-20,Express,37.87,1025.99,Impulse Item,Impulse Item,None,2024-04
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,PayPal,844.83,844.83,1,2024-07-21,Express,49.17,894.0,Accessory,None,None,2024-07
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,2023-12-02,Express,37.13,3416.4500000000003,Impulse Item,Accessory,Extended Warranty,2023-12
1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,2024-03-20,Overnight,49.54,894.37,Accessory,Extended Warranty,None,2024-03
1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,PayPal,6758.64,844.83,8,2024-04-27,Overnight,73.49,6832.13,Impulse Item,Accessory,Impulse Item,2024-04
1024,49,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,2024-07-10,Overnight,51.93,1634.3100000000002,Extended Warranty,Impulse Item,None,2024-07
1025,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,2024-01-29,Overnight,0.0,2783.76,None,None,None,2024-01
1025,77,Male,No,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,2024-08-28,Express,77.78,160.78,Extended Warranty,Extended Warranty,None,2024-08
1027,22,Male,No,Smartphone,SKU1004,2,Completed,PayPal,4747.14,791.19,6,2023-11-28,Overnight,0.0,4747.14,None,None,None,2023-11
1028,79,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,2023-11-30,Overnight,0.0,6758.64,None,None,None,2023-11
